company_id,registration_date,location,turnover,is_fraud,seller_id_x,sent_invoices,buyer_id_x,received_invoices,seller_id_y,total_sent_amount,buyer_id_y,total_received_amount,invoice_frequency,fraud_probability,predicted_fraud
GST000020,2020-11-03,Bangalore,121223.03735099013,0,GST000020,10,GST000020,6,GST000020,1089985.0378328888,GST000020,2613590.217570804,16,0.4862914,0
GST000021,2020-07-18,Kolkata,87355865.81455714,0,GST000021,2,GST000021,6,GST000021,276305.6711348398,GST000021,96917.31067956692,8,0.48338833,0
GST000022,2021-09-14,Bangalore,120988478.65194345,0,GST000022,3,GST000022,6,GST000022,88317.5147945631,GST000022,1761965.8728445258,9,0.49111968,0
GST000023,2020-08-24,Chennai,184353.84164062105,0,GST000023,3,GST000023,7,GST000023,53007.965363141106,GST000023,246161.2164349498,10,0.49496228,0
GST000024,2021-08-30,Bangalore,1882320.168535645,0,GST000024,5,GST000024,6,GST000024,531618.5975388011,GST000024,337849.4344703541,11,0.49790984,0
GST000025,2022-07-08,Kolkata,143438970.25208616,0,GST000025,5,GST000025,6,GST000025,454376.71595219354,GST000025,1303532.0800932297,11,0.4985,0
GST000026,2022-02-28,Kolkata,150251519.78616747,1,GST000026,7,GST000026,2,GST000026,1226153.3071521707,GST000026,35830.29733582124,9,0.49780437,0
GST000027,2021-11-16,Chennai,445708.9278916085,0,GST000027,4,GST000027,5,GST000027,767963.8656101008,GST000027,363495.21538718615,9,0.4926958,0
GST000028,2020-12-26,Chennai,49431.77573969969,0,GST000028,4,GST000028,3,GST000028,148663.66255709328,GST000028,308833.8841975752,7,0.49766243,0
GST000029,2021-10-04,Mumbai,8620551.074536067,0,GST000029,5,GST000029,4,GST000029,268892.87002194923,GST000029,157151.87795369432,9,0.49004012,0
GST000030,2021-12-29,Delhi,2426115.401745266,0,GST000030,6,GST000030,3,GST000030,78295.89328431008,GST000030,130879.64858591769,9,0.48831952,0
GST000031,2022-07-02,Chennai,1282143.7190231676,0,GST000031,6,GST000031,6,GST000031,5403765.2408766765,GST000031,75745.98259271447,12,0.49349496,0
GST000032,2022-06-15,Bangalore,405265.3502398481,0,GST000032,7,GST000032,9,GST000032,789066.3141263204,GST000032,488600.9174666563,16,0.49334645,0
GST000033,2021-11-08,Delhi,46307.05930191979,1,GST000033,6,GST000033,4,GST000033,829217.4596833504,GST000033,348406.22174033406,10,0.49973294,0
GST000034,2020-12-11,Chennai,4759903.31861223,0,GST000034,3,GST000034,5,GST000034,18417.23487716389,GST000034,118034.26600918316,8,0.48485258,0
GST000035,2020-08-27,Delhi,1226603.6064544695,0,GST000035,6,GST000035,5,GST000035,999519.8767875507,GST000035,44697.39442182676,11,0.48991343,0
GST000036,2022-03-31,Mumbai,150549.2229997292,0,GST000036,6,GST000036,6,GST000036,497670.6447770629,GST000036,395291.2548169932,12,0.493024,0
GST000037,2021-08-22,Chennai,8505294.52187408,0,GST000037,5,GST000037,4,GST000037,144883.4919163812,GST000037,31702.038615415622,9,0.4947666,0
GST000038,2021-07-22,Kolkata,487093.72853622993,0,GST000038,3,GST000038,5,GST000038,69902.3898562123,GST000038,224637.167025142,8,0.49829364,0
GST000039,2020-09-28,Mumbai,782818.0214833134,0,GST000039,5,GST000039,5,GST000039,617176.8224664913,GST000039,3802205.9774066117,10,0.49410364,0
GST000040,2021-06-11,Chennai,730998.7694648507,0,GST000040,4,GST000040,6,GST000040,205209.14849454936,GST000040,339841.7241197741,10,0.4888758,0
GST000041,2020-01-06,Mumbai,1649709.080310074,0,GST000041,4,GST000041,9,GST000041,511081.0617319642,GST000041,2093296.6582426028,13,0.49435142,0
GST000042,2022-06-16,Delhi,3106178.389533587,0,GST000042,6,GST000042,5,GST000042,459756.862055638,GST000042,1133183.1240868233,11,0.49377602,0
GST000043,2020-09-21,Mumbai,49344673.94224469,0,GST000043,5,GST000043,5,GST000043,941886.5181928267,GST000043,52673.336214681876,10,0.47944987,0
GST000044,2020-08-21,Chennai,14595028.658315385,0,GST000044,6,GST000044,1,GST000044,216495.61746856014,GST000044,5238.934740943464,7,0.4848477,0
GST000045,2020-06-16,Chennai,499651.0729807721,0,GST000045,1,GST000045,6,GST000045,115478.22557971708,GST000045,1329368.1563297382,7,0.48908502,0
GST000046,2020-12-30,Chennai,2315558.8734093034,0,GST000046,5,GST000046,2,GST000046,295763.47760303144,GST000046,2429311.348573031,7,0.49869388,0
GST000047,2020-03-27,Kolkata,113462.18695441268,0,GST000047,5,GST000047,2,GST000047,107148.48549219573,GST000047,3577507.519550151,7,0.49717444,0
GST000048,2021-12-09,Chennai,5144788.7100759605,0,GST000048,6,GST000048,11,GST000048,665632.5327684255,GST000048,834846.0484722211,17,0.48923808,0
GST000049,2020-01-03,Chennai,29672327.031651422,0,GST000049,1,GST000049,4,GST000049,6239.653367649519,GST000049,87118.55367444729,5,0.5032593,1
GST000050,2021-04-27,Mumbai,207657.58045575637,0,GST000050,2,GST000050,6,GST000050,488423.8984572997,GST000050,159794.10778968252,8,0.49559984,0
GST000051,2020-10-13,Mumbai,616997.3987935317,0,GST000051,5,GST000051,7,GST000051,182652.39497376033,GST000051,244165.08157863506,12,0.4875253,0
GST000052,2021-12-27,Bangalore,6507037.862312383,0,GST000052,3,GST000052,7,GST000052,147140.92884733982,GST000052,519401.46102493,10,0.49917075,0
GST000053,2020-07-30,Bangalore,834270.7928482887,0,GST000053,6,GST000053,8,GST000053,1232623.7737083798,GST000053,9267876.536618698,14,0.49211377,0
GST000054,2020-02-03,Bangalore,1294500.306767936,0,GST000054,7,GST000054,5,GST000054,533718.9557493475,GST000054,1981948.7186114066,12,0.48171046,0
GST000055,2021-10-22,Bangalore,6695773.979245364,0,GST000055,6,GST000055,4,GST000055,599354.9677446001,GST000055,470290.22642093373,10,0.4717991,0
GST000056,2022-08-15,Delhi,123403.6710197784,0,GST000056,4,GST000056,4,GST000056,510621.5665494176,GST000056,211005.97198740166,8,0.48465654,0
GST000057,2022-03-29,Kolkata,397983.02600774326,0,GST000057,7,GST000057,4,GST000057,470606.41033355903,GST000057,552822.3597249553,11,0.49268985,0
GST000058,2021-05-25,Mumbai,4526088.3857994685,0,GST000058,5,GST000058,9,GST000058,55936.30196679756,GST000058,564020.8185483739,14,0.4911306,0
GST000059,2022-08-16,Mumbai,37006291.63468188,0,GST000059,8,GST000059,4,GST000059,337913.8934440299,GST000059,799476.4956504703,12,0.5014934,1
GST000060,2022-07-05,Kolkata,1401581.4138239434,0,GST000060,4,GST000060,4,GST000060,172015.81735733396,GST000060,4164017.58356674,8,0.49812353,0
GST000061,2020-06-10,Chennai,4238553.525742434,0,GST000061,5,GST000061,5,GST000061,123042.39791907978,GST000061,660723.5546565459,10,0.49852288,0
GST000062,2022-01-14,Mumbai,2534914.060017073,0,GST000062,7,GST000062,6,GST000062,562199.5280550044,GST000062,2139844.5707803634,13,0.49053904,0
GST000063,2022-02-17,Chennai,6196359.523453267,0,GST000063,5,GST000063,8,GST000063,67356.440755696,GST000063,330682.4385279647,13,0.47887215,0
GST000064,2022-09-04,Delhi,140270636.7976368,0,GST000064,6,GST000064,4,GST000064,1617351.2147925058,GST000064,168109.45319410882,10,0.49837014,0
GST000065,2021-09-16,Kolkata,786339.6676922402,0,GST000065,2,GST000065,5,GST000065,24672.23826870966,GST000065,92277.63480987423,7,0.49559817,0
GST000066,2020-04-15,Bangalore,3976361.01514746,0,GST000066,9,GST000066,9,GST000066,101983.43476989158,GST000066,943190.0116654296,18,0.49538878,0
GST000067,2022-04-25,Bangalore,2766842.655843757,0,GST000067,3,GST000067,4,GST000067,172715.42743552884,GST000067,60074.74671716386,7,0.49823213,0
GST000068,2021-06-29,Bangalore,209449.3640793864,1,GST000068,6,GST000068,3,GST000068,137240.30484718358,GST000068,276021.81269858946,9,0.47630975,0
GST000069,2020-12-09,Kolkata,4288991.590046657,0,GST000069,5,GST000069,4,GST000069,275434.1297109356,GST000069,158372.43116563722,9,0.49906564,0
GST000070,2020-04-02,Chennai,64297997.32769654,0,GST000070,5,GST000070,8,GST000070,360875.05849436537,GST000070,455702.66313557426,13,0.49336675,0
GST000071,2020-11-29,Chennai,365285.7415795603,0,GST000071,8,GST000071,4,GST000071,1527003.970836421,GST000071,5520961.555093792,12,0.4984249,0
GST000072,2020-03-14,Kolkata,18969900.329751752,0,GST000072,2,GST000072,3,GST000072,358871.25386816525,GST000072,44174.47239774009,5,0.49981898,0
GST000073,2021-12-15,Delhi,1957.8097946161388,1,GST000073,5,GST000073,9,GST000073,227157.6623451482,GST000073,413246.9498210968,14,0.493392,0
GST000074,2021-06-02,Kolkata,21723012.752572827,0,GST000074,4,GST000074,2,GST000074,260104.79272390142,GST000074,249138.56894882192,6,0.49635863,0
GST000075,2022-01-30,Mumbai,6816539.852250799,0,GST000075,6,GST000075,6,GST000075,1972915.934694523,GST000075,561442.914845514,12,0.49706405,0
GST000076,2020-01-16,Mumbai,23449982.34971627,0,GST000076,4,GST000076,4,GST000076,675494.198769441,GST000076,296314.6071599539,8,0.4992563,0
GST000077,2022-07-12,Delhi,1070940.5891362184,0,GST000077,6,GST000077,6,GST000077,1394067.0352736346,GST000077,264049.07834333146,12,0.50044703,1
GST000078,2020-10-07,Mumbai,561632.5145684545,0,GST000078,7,GST000078,10,GST000078,1207347.8416249435,GST000078,516674.5658822739,17,0.4947268,0
GST000079,2020-04-16,Mumbai,526710.1411398404,0,GST000079,6,GST000079,4,GST000079,1401372.2623823634,GST000079,270363.783699169,10,0.4898323,0
GST000080,2022-05-02,Delhi,36989.98207721547,0,GST000080,6,GST000080,5,GST000080,745886.3263803876,GST000080,657020.4642850363,11,0.49086434,0
GST000081,2022-09-10,Chennai,21606848.03025949,0,GST000081,4,GST000081,8,GST000081,151703.84426254214,GST000081,265371.8568823837,12,0.48771363,0
GST000082,2022-06-15,Chennai,5065010.048689185,0,GST000082,5,GST000082,8,GST000082,651728.0862598822,GST000082,1829037.819462437,13,0.49369285,0
GST000083,2020-11-14,Chennai,704668.3796201458,0,GST000083,3,GST000083,3,GST000083,41784.83216403605,GST000083,46879.81990511241,6,0.49898005,0
GST000084,2022-04-13,Mumbai,6023179.383419723,0,GST000084,4,GST000084,4,GST000084,95457.5003965671,GST000084,462381.9749123309,8,0.4946304,0
GST000085,2020-07-19,Delhi,12843513.07440813,0,GST000085,3,GST000085,7,GST000085,564208.5499022503,GST000085,65411.78884267202,10,0.49518403,0
GST000086,2021-10-09,Delhi,21720658.40071792,0,GST000086,4,GST000086,6,GST000086,674490.8858117246,GST000086,606793.5700869901,10,0.4917562,0
GST000087,2021-06-15,Kolkata,1159096.1055352923,0,GST000087,7,GST000087,4,GST000087,245651.2093231365,GST000087,192833.96546819576,11,0.4949246,0
GST000088,2021-10-06,Chennai,7463921.957504999,0,GST000088,7,GST000088,4,GST000088,979435.2629370202,GST000088,545374.7125867184,11,0.4982651,0
GST000089,2020-05-13,Kolkata,2767682.697071102,0,GST000089,5,GST000089,3,GST000089,410996.61713871616,GST000089,262186.3318097924,8,0.49971107,0
GST000090,2021-03-23,Mumbai,33359856.577195,0,GST000090,6,GST000090,3,GST000090,4509764.7562318845,GST000090,225571.8591480273,9,0.5012387,1
GST000091,2020-07-16,Mumbai,3592508.623061581,0,GST000091,6,GST000091,6,GST000091,170597.26895904532,GST000091,1338334.919945229,12,0.4939714,0
GST000092,2020-10-07,Bangalore,85297.87487498307,1,GST000092,1,GST000092,7,GST000092,12550.563853535796,GST000092,430724.84402903885,8,0.49912748,0
GST000093,2022-03-13,Kolkata,3375184.324330493,0,GST000093,2,GST000093,6,GST000093,548316.3808211524,GST000093,355577.4828265058,8,0.49116346,0
GST000094,2021-06-18,Mumbai,18769790.80751988,0,GST000094,7,GST000094,1,GST000094,220996.87131827048,GST000094,27996.352410109484,8,0.49416924,0
GST000095,2022-03-20,Bangalore,11093568.637946997,0,GST000095,5,GST000095,6,GST000095,2517549.037248655,GST000095,203179.08544286704,11,0.49469727,0
GST000096,2021-08-20,Kolkata,1855694.4998310292,0,GST000096,6,GST000096,4,GST000096,1052702.1318374278,GST000096,155297.6004180549,10,0.49318314,0
GST000097,2021-02-09,Kolkata,7408.33592472558,1,GST000097,6,GST000097,4,GST000097,669453.593473748,GST000097,98800.73604147046,10,0.49225467,0
GST000098,2022-09-15,Bangalore,8068918.4392008595,0,GST000098,2,GST000098,7,GST000098,206940.83513105614,GST000098,862605.2804286537,9,0.494704,0
GST000099,2022-01-25,Mumbai,92742262.96983232,0,GST000099,5,GST000099,7,GST000099,523565.74338533316,GST000099,1297401.7378786192,12,0.48998854,0
GST000100,2022-06-04,Delhi,2395113.267769245,0,GST000100,4,GST000100,2,GST000100,2007504.8680971516,GST000100,21696.473630755776,6,0.5022868,1
GST000101,2022-08-29,Chennai,4581924.89197146,0,GST000101,9,GST000101,6,GST000101,2177179.6983778835,GST000101,394708.3951941457,15,0.4917135,0
GST000102,2020-05-28,Mumbai,16854334.022643168,0,GST000102,4,GST000102,4,GST000102,226906.29340294967,GST000102,227350.55210569705,8,0.495801,0
GST000103,2020-09-02,Bangalore,724091.7268075517,0,GST000103,7,GST000103,3,GST000103,425063.1656420544,GST000103,229096.0875133797,10,0.49352333,0
GST000104,2020-06-14,Chennai,738438.5682973636,0,GST000104,10,GST000104,3,GST000104,637102.1799037535,GST000104,311903.7180944812,13,0.49602205,0
GST000105,2020-05-04,Kolkata,101506.1394194282,0,GST000105,1,GST000105,9,GST000105,62307.91612778072,GST000105,147138.05813417627,10,0.48917255,0
GST000106,2020-06-05,Bangalore,363080.8388108869,0,GST000106,9,GST000106,6,GST000106,168027.10709588666,GST000106,218561.98803759998,15,0.5008406,1
GST000107,2022-06-13,Chennai,77711.48071820072,0,GST000107,6,GST000107,4,GST000107,825673.0695702516,GST000107,53146.71400647892,10,0.4921298,0
GST000108,2022-01-01,Delhi,684653.5404151503,0,GST000108,9,GST000108,3,GST000108,1548397.8096667381,GST000108,104577.63894663779,12,0.50191534,1
GST000109,2020-04-03,Kolkata,218631.9316697771,0,GST000109,3,GST000109,8,GST000109,2048390.653583732,GST000109,350255.15063340595,11,0.49718153,0
GST000110,2022-06-30,Kolkata,83850961.81298697,0,GST000110,7,GST000110,7,GST000110,1143490.6929984293,GST000110,1237453.7854388736,14,0.4998888,0
GST000111,2020-08-27,Bangalore,1796026.974537783,0,GST000111,7,GST000111,5,GST000111,169574.54271265405,GST000111,434698.8916941403,12,0.49363548,0
GST000112,2021-08-05,Kolkata,54765.10522934423,0,GST000112,2,GST000112,9,GST000112,47340.07812066179,GST000112,1465148.73513665,11,0.4947497,0
GST000113,2020-07-09,Kolkata,8699466.161711575,0,GST000113,4,GST000113,8,GST000113,299094.576739882,GST000113,716538.5132241833,12,0.49787244,0
GST000114,2021-12-12,Bangalore,1995863.618392452,0,GST000114,4,GST000114,6,GST000114,166363.9709041063,GST000114,244005.3493844617,10,0.49863166,0
GST000115,2020-10-09,Mumbai,3063566.090537006,0,GST000115,2,GST000115,1,GST000115,320710.9978218076,GST000115,168670.45342867018,3,0.47052708,0
GST000116,2020-12-02,Bangalore,730579.5027558736,0,GST000116,7,GST000116,6,GST000116,158183.0761602973,GST000116,167861.4054525402,13,0.48238552,0
GST000117,2021-07-01,Delhi,28883070.147367068,0,GST000117,9,GST000117,4,GST000117,418111.57188662334,GST000117,60158.50820182341,13,0.49861535,0
GST000118,2022-04-06,Kolkata,2685790.345496624,0,GST000118,8,GST000118,5,GST000118,462579.32010157406,GST000118,1142385.8370295188,13,0.49996734,0
GST000119,2021-03-07,Mumbai,237648717.3404633,0,GST000119,9,GST000119,4,GST000119,533232.4293654675,GST000119,375823.1871631418,13,0.49932554,0
GST000120,2021-10-16,Chennai,4680238.263608587,0,GST000120,6,GST000120,7,GST000120,648975.426551306,GST000120,339190.6185111382,13,0.48210835,0
GST000121,2022-08-05,Bangalore,12942506.94818152,0,GST000121,4,GST000121,3,GST000121,361165.22861697426,GST000121,25764.247748979404,7,0.4765611,0
GST000122,2021-08-12,Delhi,2840880.730247489,0,GST000122,9,GST000122,5,GST000122,7225441.996816364,GST000122,162311.58164525306,14,0.49834245,0
GST000123,2020-07-04,Chennai,418840.8125794372,0,GST000123,5,GST000123,3,GST000123,491599.1997200041,GST000123,267159.3398040603,8,0.497237,0
GST000124,2020-03-18,Chennai,6984058.416932291,0,GST000124,5,GST000124,4,GST000124,174284.27564093014,GST000124,345278.2908415805,9,0.4954715,0
GST000125,2022-03-31,Mumbai,4157259.7035505194,0,GST000125,6,GST000125,3,GST000125,358182.78482366225,GST000125,154437.0052709812,9,0.4959917,0
GST000126,2021-04-10,Kolkata,586735.7630268761,0,GST000126,2,GST000126,3,GST000126,109449.83864906072,GST000126,232344.63223948178,5,0.50423414,1
GST000127,2022-06-22,Kolkata,1501582.823317385,0,GST000127,8,GST000127,8,GST000127,3216443.419578912,GST000127,480948.9725318261,16,0.49190676,0
GST000128,2022-04-03,Delhi,84570.5948441454,0,GST000128,7,GST000128,2,GST000128,322485.04486559745,GST000128,232184.64393997635,9,0.49348256,0
GST000129,2020-05-24,Chennai,4132.816772845032,1,GST000129,5,GST000129,10,GST000129,124324.99249366217,GST000129,392917.2951087843,15,0.480678,0
GST000130,2020-06-01,Kolkata,109802606.32137586,0,GST000130,4,GST000130,3,GST000130,439712.57617161126,GST000130,563009.461572468,7,0.49241906,0
GST000131,2022-04-12,Chennai,3630552.8151796847,0,GST000131,9,GST000131,5,GST000131,2134422.0232676463,GST000131,370669.32427380636,14,0.4887187,0
GST000132,2022-08-27,Bangalore,11245057.812525518,0,GST000132,7,GST000132,3,GST000132,917421.60765324,GST000132,19292.607690932833,10,0.49369368,0
GST000133,2020-11-04,Kolkata,205640.6485133089,0,GST000133,11,GST000133,4,GST000133,1674216.2928074892,GST000133,879970.9706914627,15,0.4987863,0
GST000134,2020-06-30,Mumbai,91154.93490144669,0,GST000134,8,GST000134,8,GST000134,160425.52256044798,GST000134,2075111.1307150598,16,0.49574944,0
GST000135,2020-06-13,Chennai,2565545.717346742,0,GST000135,4,GST000135,9,GST000135,62323.47719929371,GST000135,266070.52288488596,13,0.48553628,0
GST000136,2021-02-22,Mumbai,2099196.069928871,0,GST000136,3,GST000136,3,GST000136,379058.5772465647,GST000136,4892.133010763417,6,0.50171393,1
GST000137,2020-06-29,Chennai,13733690.733465536,0,GST000137,5,GST000137,4,GST000137,176101.65700766302,GST000137,367270.5956016349,9,0.49615806,0
GST000138,2020-02-23,Bangalore,1612144.019634422,0,GST000138,5,GST000138,1,GST000138,215660.69607447798,GST000138,8182.629816019292,6,0.49965954,0
GST000139,2022-01-21,Bangalore,1604516.9206452218,0,GST000139,10,GST000139,6,GST000139,736561.5123498192,GST000139,156150.3836750717,16,0.49740258,0
GST000140,2020-09-15,Kolkata,1033794.1694486612,0,GST000140,7,GST000140,4,GST000140,1773740.815996113,GST000140,62588.877719997094,11,0.49272197,0
GST000141,2020-02-02,Kolkata,529737.7542828671,0,GST000141,9,GST000141,9,GST000141,529183.1554176421,GST000141,1084128.2701777695,18,0.49342552,0
GST000142,2022-08-02,Mumbai,1400069.4473819246,0,GST000142,7,GST000142,6,GST000142,257379.6768679732,GST000142,6633714.925966721,13,0.48849207,0
GST000143,2020-02-02,Chennai,1095464.9121911055,0,GST000143,4,GST000143,11,GST000143,742485.9819011495,GST000143,1194733.4876169278,15,0.48996216,0
GST000144,2021-04-06,Bangalore,2876312.423285309,0,GST000144,4,GST000144,7,GST000144,271955.7328914501,GST000144,1557016.8727186515,11,0.49778962,0
GST000145,2021-07-13,Bangalore,7007444.665253507,0,GST000145,5,GST000145,8,GST000145,4601076.351260602,GST000145,7411594.46026087,13,0.4867493,0
GST000146,2022-01-11,Kolkata,27979852.05784713,0,GST000146,3,GST000146,8,GST000146,612798.6713415665,GST000146,120385.15286514201,11,0.49186417,0
GST000147,2020-08-19,Kolkata,24927548.101712234,0,GST000147,3,GST000147,4,GST000147,119107.40405819286,GST000147,343085.2211882415,7,0.4958964,0
GST000148,2022-09-02,Bangalore,1048634.8579774883,0,GST000148,6,GST000148,3,GST000148,1184198.995036421,GST000148,132069.34828641076,9,0.49711075,0
GST000149,2021-03-25,Bangalore,9878.65654325565,1,GST000149,5,GST000149,7,GST000149,227000.28551999677,GST000149,177586.09288627113,12,0.49090865,0
GST000150,2020-08-25,Bangalore,193563.79461549132,0,GST000150,1,GST000150,2,GST000150,6446.278139313296,GST000150,251241.77672518318,3,0.4933102,0
GST000151,2022-08-29,Bangalore,84572.73686432629,0,GST000151,3,GST000151,5,GST000151,35810.2508071936,GST000151,619274.2771004306,8,0.44988808,0
GST000152,2020-09-12,Delhi,42273005.99466247,0,,0,GST000152,9,,0.0,GST000152,618558.4908662466,9,0.49635756,0
GST000153,2021-09-27,Delhi,37279.7113220295,0,GST000153,7,GST000153,5,GST000153,870734.195667678,GST000153,484182.85608495417,12,0.5002309,1
GST000154,2020-04-04,Chennai,1907311.9517217148,0,GST000154,6,GST000154,8,GST000154,7950682.3019809835,GST000154,499093.79500969977,14,0.49599224,0
GST000155,2020-04-06,Mumbai,3184708.868969258,0,GST000155,3,GST000155,6,GST000155,243305.71209057397,GST000155,82139.47100023483,9,0.49658898,0
GST000156,2020-06-05,Kolkata,1248698.765242186,0,GST000156,6,GST000156,4,GST000156,1631486.0064360634,GST000156,192921.24461476615,10,0.49946588,0
GST000157,2021-10-12,Delhi,464451.1687494722,0,GST000157,9,GST000157,5,GST000157,3629862.7292918186,GST000157,523107.6815320761,14,0.49313873,0
GST000158,2022-04-19,Delhi,499155.4977146851,0,GST000158,1,GST000158,5,GST000158,32239.307723156897,GST000158,222899.8565367202,6,0.49434748,0
GST000159,2020-07-14,Mumbai,713258.3328378646,0,GST000159,5,GST000159,7,GST000159,91473.19276307177,GST000159,535619.9874914525,12,0.4928316,0
GST000160,2020-09-19,Chennai,80464879.19740853,0,GST000160,7,GST000160,10,GST000160,315016.9147313539,GST000160,486507.40838032024,17,0.49327004,0
GST000161,2020-08-18,Kolkata,3048617.2484309706,0,GST000161,4,GST000161,4,GST000161,180087.20020963086,GST000161,223077.31376469787,8,0.4922293,0
GST000162,2022-07-03,Delhi,51408.81847974458,0,GST000162,4,GST000162,5,GST000162,186070.93809857185,GST000162,1439108.0619775183,9,0.48923814,0
GST000163,2020-01-11,Kolkata,2287237.917413529,0,GST000163,1,GST000163,4,GST000163,160425.57340953182,GST000163,100215.88923361574,5,0.4921886,0
GST000164,2022-05-21,Mumbai,2338165.581719952,0,GST000164,5,GST000164,2,GST000164,87267.54388202641,GST000164,6911046.584462233,7,0.49317187,0
GST000165,2021-06-30,Bangalore,6533948.162336144,0,GST000165,5,GST000165,3,GST000165,1782790.9400650777,GST000165,675818.9516892771,8,0.50080013,1
GST000166,2021-07-30,Mumbai,1213048.5780403118,0,GST000166,7,GST000166,2,GST000166,591686.2590416698,GST000166,13387.601377396833,9,0.505175,1
GST000167,2021-04-05,Chennai,13251.461485670725,1,GST000167,2,GST000167,2,GST000167,97344.76658621756,GST000167,195580.66581666868,4,0.5012015,1
GST000168,2022-08-04,Mumbai,2386164.97377303,0,GST000168,3,GST000168,7,GST000168,644797.8520529998,GST000168,579350.4399088508,10,0.49012047,0
GST000169,2020-10-30,Chennai,4731662.848009252,0,GST000169,2,GST000169,6,GST000169,89849.01867597982,GST000169,2425662.533427128,8,0.4933738,0
GST000170,2020-02-17,Delhi,1540107.921946011,0,GST000170,5,GST000170,2,GST000170,34309.878363221695,GST000170,147701.90644543275,7,0.49757874,0
GST000171,2020-04-05,Chennai,127010.39631482256,0,GST000171,5,GST000171,4,GST000171,64708.15876881077,GST000171,505734.6438231643,9,0.4965105,0
GST000172,2021-07-02,Mumbai,212949.2177812552,0,GST000172,4,GST000172,4,GST000172,693183.2671082474,GST000172,2117163.835176085,8,0.48455548,0
GST000173,2021-05-22,Mumbai,475268.6087171848,0,GST000173,9,GST000173,7,GST000173,138520.93927024372,GST000173,293160.94683498604,16,0.49759367,0
GST000174,2020-07-30,Bangalore,3777587.677272638,0,GST000174,5,GST000174,5,GST000174,641611.2818553249,GST000174,167662.34898567107,10,0.48988998,0
GST000175,2020-07-01,Kolkata,579748.684910428,0,GST000175,3,GST000175,2,GST000175,5161393.563905303,GST000175,10730.43858392654,5,0.48238358,0
GST000176,2020-02-15,Bangalore,95017.7213914802,0,GST000176,5,GST000176,4,GST000176,597906.8907038476,GST000176,35491.81561326594,9,0.4967791,0
